landmark_id,hierarchical_label,natural_or_human_made
0,parks,natural
2,lake,natural
3,shinto shrine,human-made
8,cemetery,human-made
9,monastery,human-made
11,church,human-made
15,cemetery,human-made
16,tower,human-made
18,mountain,natural
21,parks,natural
22,cemetery,human-made
23,church,human-made
25,castle / fort,human-made
28,church,human-made
30,parks,natural
38,city,human-made
39,castle / fort,human-made
40,city,human-made
41,library,human-made
42,museum,human-made
43,castle / fort,human-made
45,castle / fort,human-made
46,mountain,natural
48,zoo,human-made
50,church,human-made
51,palace,human-made
52,castle / fort,human-made
54,lake,natural
55,cave,natural
56,castle / fort,human-made
60,church,human-made
61,church,human-made
62,theatre,human-made
64,church,human-made
65,square,human-made
67,government building,human-made
69,museum,human-made
70,river,natural
71,parks,natural
73,lake,natural
75,bridge,human-made
76,river,natural
77,canal,natural
78,tree,natural
79,mountain,natural
80,cave,natural
81,restaurant,human-made
83,house,human-made
84,mountain,natural
85,parks,natural
89,harbor,human-made
90,sports venue,human-made
92,tower,human-made
96,church,human-made
97,tower,human-made
100,parks,natural
102,air transportation,human-made
103,church,human-made
104,sculpture,human-made
108,trail,natural
110,museum,human-made
113,museum,human-made
114,church,human-made
115,church,human-made
116,mountain,natural
118,castle / fort,human-made
119,amusement park,human-made
122,wetland,natural
128,sculpture,human-made
129,museum,human-made
130,theatre,human-made
133,lake,natural
134,mountain,natural
135,museum,human-made
136,cave,natural
137,church,human-made
138,museum,human-made
139,church,human-made
142,harbor,human-made
143,mountain,natural
145,buddhist temple,human-made
147,castle / fort,human-made
148,sculpture,human-made
149,castle / fort,human-made
152,palace,human-made
154,church,human-made
157,city,human-made
158,castle / fort,human-made
161,church,human-made
162,palace,human-made
169,museum,human-made
172,mountain,natural
173,waterfall,natural
174,rail transportation,human-made
175,church,human-made
176,sports venue,human-made
177,bridge,human-made
179,road,human-made
181,church,human-made
182,lake,natural
183,museum,human-made
184,shopping,human-made
185,castle / fort,human-made
186,canal,natural
189,river,natural
191,church,human-made
192,bridge,human-made
193,church,human-made
197,castle / fort,human-made
199,house,human-made
200,parks,natural
201,river,natural
202,agricultural land,natural
203,church,human-made
204,monastery,human-made
208,cemetery,human-made
210,church,human-made
211,church,human-made
213,skyscraper,human-made
215,church,human-made
216,palace,human-made
219,lake,natural
220,zoo,human-made
221,mountain,natural
222,parks,natural
223,skyscraper,human-made
224,castle / fort,human-made
225,castle / fort,human-made
228,garden,natural
229,archeological site,human-made
231,government building,human-made
234,fountain,human-made
235,museum,human-made
236,library,human-made
238,fountain,human-made
239,castle / fort,human-made
241,parks,natural
242,mountain,natural
245,palace,human-made
247,church,human-made
248,church,human-made
250,museum,human-made
251,museum,human-made
253,parks,natural
254,church,human-made
256,church,human-made
260,museum,human-made
262,market,human-made
264,lake,natural
266,church,human-made
270,road,human-made
271,church,human-made
272,parks,natural
275,mountain,natural
277,cable transportation,human-made
278,island,natural
281,lake,natural
283,museum,human-made
284,city,human-made
285,mountain,natural
287,island,natural
288,house,human-made
290,archeological site,human-made
291,church,human-made
292,hindu temple,human-made
293,parks,natural
295,archeological site,human-made
301,road,human-made
302,church,human-made
303,museum,human-made
305,sports venue,human-made
310,church,human-made
313,church,human-made
316,castle / fort,human-made
317,square,human-made
318,harbor,human-made
319,museum,human-made
321,lake,natural
324,mountain,natural
325,artwork,human-made
326,monastery,human-made
327,palace,human-made
328,bridge,human-made
329,cemetery,human-made
332,church,human-made
334,settlement,human-made
338,skyscraper,human-made
339,windmill,human-made
341,sculpture,human-made
343,museum,human-made
345,bridge,human-made
347,museum,human-made
351,hotel,human-made
353,theatre,human-made
354,church,human-made
356,road,human-made
357,square,human-made
359,mountain,natural
360,parks,natural
363,skyscraper,human-made
366,church,human-made
370,church,human-made
372,bridge,human-made
374,castle / fort,human-made
375,monastery,human-made
376,shinto shrine,human-made
379,windmill,human-made
380,sports venue,human-made
383,church,human-made
385,church,human-made
386,lake,natural
387,church,human-made
389,mountain,natural
390,garden,natural
392,castle / fort,human-made
393,buddhist temple,human-made
394,mountain,natural
396,church,human-made
398,castle / fort,human-made
399,mountain,natural
400,church,human-made
401,prison,human-made
404,bridge,human-made
408,hospital,human-made
409,synagogue,human-made
411,church,human-made
412,theatre,human-made
413,square,human-made
416,church,human-made
420,sports venue,human-made
425,archeological site,human-made
431,buddhist temple,human-made
432,museum,human-made
433,skyscraper,human-made
434,bridge,human-made
435,boat,human-made
436,church,human-made
440,trail,natural
441,mountain,natural
442,island,natural
443,church,human-made
444,church,human-made
446,parks,natural
448,castle / fort,human-made
450,church,human-made
452,church,human-made
453,parks,natural
455,church,human-made
456,palace,human-made
457,hotel,human-made
458,ocean area ,natural
459,theatre,human-made
460,bridge,human-made
462,museum,human-made
464,mosque,human-made
465,church,human-made
467,sports venue,human-made
469,church,human-made
471,mountain,natural
474,church,human-made
476,castle / fort,human-made
478,theatre,human-made
480,church,human-made
481,prison,human-made
484,rail transportation,human-made
485,church,human-made
487,church,human-made
489,castle / fort,human-made
491,sports venue,human-made
496,church,human-made
497,church,human-made
498,castle / fort,human-made
499,rail transportation,human-made
501,zoo,human-made
502,tower,human-made
503,house,human-made
505,museum,human-made
507,sports venue,human-made
512,mountain,natural
513,parks,natural
514,church,human-made
516,museum,human-made
519,castle / fort,human-made
523,river,natural
524,church,human-made
527,church,human-made
528,sports venue,human-made
529,harbor,human-made
531,parks,natural
532,bridge,human-made
533,bridge,human-made
534,mosque,human-made
535,memorial,human-made
536,church,human-made
537,church,human-made
539,mountain,natural
540,school,human-made
541,castle / fort,human-made
543,church,human-made
544,observatory,human-made
545,sculpture,human-made
546,castle / fort,human-made
547,church,human-made
548,museum,human-made
552,city,human-made
559,mountain,natural
562,gate,human-made
563,monastery,human-made
564,lake,natural
567,market,human-made
568,city,human-made
570,lake,natural
571,parks,natural
577,church,human-made
578,church,human-made
579,rail transportation,human-made
582,mine,human-made
583,sports venue,human-made
585,fountain,human-made
586,synagogue,human-made
587,mountain,natural
588,hospital,human-made
589,monastery,human-made
590,cemetery,human-made
592,parks,natural
594,parks,natural
597,cemetery,human-made
598,mountain,natural
599,bridge,human-made
604,cave,natural
606,church,human-made
607,parks,natural
611,bridge,human-made
613,square,human-made
614,mountain,natural
617,church,human-made
623,beach,natural
624,cemetery,human-made
628,island,natural
631,church,human-made
633,river,natural
634,mountain,natural
636,castle / fort,human-made
638,dam,human-made
642,parks,natural
643,library,human-made
646,church,human-made
647,lighthouse,human-made
648,church,human-made
